sekolah_id,nama_sekolah
000ef157-013c-e111-bb8c-9fe16f6e38db,SD NEGERI OGOGILI
008dc777-eafe-e111-91af-9d2e2c032ed3,SMP NEGERI 8 Satap Mbuwu Banawa Selatan
e0ae1e58-013c-e111-8131-c78c2a35526a,SD INPRES 1 DUSUNAN
fa9fb3b4-1bf8-4004-94cf-58ea327ebdd3,SMK JANUR PERSADA SIGI
a6662ac7-1f4c-409c-b15a-252c22cf92f9,SD Negeri Dongi-Dongi
804ae757-013c-e111-8995-05e43733650d,SD NEGERI 12 GADUNG
20f7f457-013c-e111-85a1-f34f6a7b6bca,SD NEGERI PERCONTOHAN
d234d2bd-38ae-4884-97d2-12ed6a9059f0,SMKS ALKHAIRAAT PALU
c01b3058-013c-e111-8d8d-f7ae9352b2f4,SD INPRES 3 TADA
8092e157-013c-e111-83f5-c59a0e3c3900,SD NEGERI 5 BIAU
799e9370-23d3-4d2c-868a-d565edda446b,MIS DDI BUNGKU
704a3f58-013c-e111-875c-79f65bc9645b,SD NEGERI SIATU
000916ba-8c18-e111-9b9f-f768aea5436d,SMP AL KHAIRIYAH
003b1958-013c-e111-8e36-0f9d800cc544,SD NEGERI BURANGA
9d3808db-8254-4d9c-b2f6-008d89f6c00d,MAN 1 PARIGI
20351858-013c-e111-a96e-69408c1f02d0,SD INPRES KAYUBOKO
90ed5a57-013c-e111-b448-a1ff683064db,SD NEGERI 3 DOLO
c0f89757-013c-e111-b3ae-776c00f487b5,SD NEGERI SANGIRA
00834d58-013c-e111-9fb7-d15ed5a08d9c,SD NEGERI POBOYA
20e17b57-013c-e111-9b85-17d3528158be,SDN 15 BALAESANG
e0ba3158-013c-e111-afb0-e94a2451d778,SD NEGERI BUGIS
806dc077-eafe-e111-94b5-1bf107949225,SDN 19 BALAESANG TANJUNG
0015db57-013c-e111-bc38-f777a171d871,SD NEGERI 12 MOMUNU
80e21c58-013c-e111-aa40-9f336bda65ab,SD NEGERI 2 SIDOAN
b985e94f-36e6-4313-9fb0-45cb23e26e2b,SMKN 1 TAOPA
c087f357-013c-e111-8fa3-6d8f4cbaa7d3,SD NEGERI 3 KAMALU
c0e41958-013c-e111-946c-f94b1afc06eb,SD NEGERI TOGA
9487f093-13dc-4809-8b77-c913295eae72,SMAN 1 MOMUNU
e0954f58-013c-e111-bb9f-09803c179ac3,SD NEGERI 7 TAIPA
10c42658-013c-e111-84a4-3da3deec4c89,SD INPRES 1 WANAGADING
90752871-6641-4654-bfa3-73c0dedffe98,SMAN 1 ULUBONGKA
c038f357-013c-e111-bf60-1b93dd9b2edb,Sekolah Dasar Negeri 1 Buga
40471758-013c-e111-badb-fd19cffe2d31,SD INPRES DOLAGO
c0b0e357-013c-e111-b8d9-379f330850e1,SD NEGERI 9 TILOAN
5c063882-9f19-4c95-8c73-822144912be9,SMP NEGERI 2 SOJOL
72f6825e-4cff-4d9e-bde6-463b8ee0b2f8,MTSS DDI TOSALE
d0dbcf58-013c-e111-bcea-5d5c807e244b,SMP NEGERI 1 PETASIA TIMUR
70de3258-013c-e111-801a-6ba308b96d3a,SD NEGERI DOLAGO
10f90058-013c-e111-b5ed-4fb971653500,SD NEGERI UMBELE
e0cb3958-013c-e111-b2a6-293d53a7f270,SD NEGERI PAYOMPO
d0041258-013c-e111-b5d2-c5fa37ba8867,SD NEGERI 1 TANANAGAYA
a05a1e58-013c-e111-8df8-0d47b1ea458d,SD INPRES 3 SIDOAN
856bd0f0-b684-4d80-8c1f-ac601bd1b2ff,SMP Negeri 6 Gadung
e0958457-013c-e111-9ea3-e71d1b58e2d4,SDN 27 DAMPELAS
3dde0f4d-4dd6-4a10-8e20-13cf16fb5786,SMPN 3 PETASIA SATU ATAP
40eb3658-013c-e111-b1f5-43d3a9cb2382,SD NEGERI UEMATOPA
a0f11f58-013c-e111-bc06-4b35659d37e9,SD NEGERI 1 PALASA
f03660ac-30f5-e011-a978-6773e39e7de4,SD NEGERI 3 MATALI
90202258-013c-e111-9887-41ff18f55d26,SD INPRES 3 PALASA
9017bb58-013c-e111-aa64-b5153b851056,SMP NEGERI 1 LORE TENGAH
a159e828-58b5-454d-a50a-3f5b4c60826f,MAS ALKHAIRAAT SIGENTI
c6140d29-58be-4544-a243-8f5cb396230a,SMK TOVEAKU
30d97d57-013c-e111-870c-c38fce7d94ce,SDN 4 BALAESANG
1f853491-d0e7-449b-a2cc-acdecb68c666,SMP Negeri 4 Petasia Timur Satu Atap
2871d177-dfd3-4650-9484-6cf1a081f2e4,MAN BUOL
146024ce-1f69-40b3-bcda-b94cf431c25b,SMAN 1 BALAESANG
e00aa157-013c-e111-b907-757036a203c0,SD NEGERI 23 POSO
d22c47b2-3d56-48a3-bdfa-f88cbc7cf7b4,SMKN 1 BOKAT
10bcba58-013c-e111-bf93-2939c4d0c282,SMP NEGERI 2 LAGE
40f22758-013c-e111-94fc-7bc5e6197248,SD NEGERI MALINO
70bcf057-013c-e111-85bd-69188487db68,SD NEGERI 2 MALALA
a0597f57-013c-e111-8996-930616b05ad3,SDN 16 BALAESANG TANJUNG
b09d9957-013c-e111-a08f-c56924d74ba9,Data sekolah kosong (ID tidak aktif/invalid)
a044fb57-013c-e111-8ca9-f17a25a99e72,SDN. 2 DUNGINGIS
c491b9bc-caed-4c4c-96ab-6a2fef733d0e,SMP IT PERSIS PALU
805f3158-013c-e111-b1f7-79fd47877089,SD INPRES 1 MEPANGA
600b7c57-013c-e111-8daf-23783b44bb5e,SDN 25 SIRENJA
d3a52fc6-af64-46ce-8170-fd4a57a0ea4d,SDN BAJO
8089fb57-013c-e111-9686-81491e6e6fe2,SD NEGERI 5 BASI
80782758-013c-e111-82b7-bdc8e63406a5,SD INPRES 1 MALINO
c0606e57-013c-e111-ab2d-47a9868dcf68,SDN 1 BANAWA SELATAN
7bce9341-c9cc-4144-8a3a-fefb81cf933c,SMKN 1 SINDUE TOBATA
c0396d57-013c-e111-9a60-3fcc4a1048d3,SDN 10 BANAWA
6c659f93-9a2d-4919-bde2-ffb38c505e56,SMTK SETIA MAMUJU
909ac077-eafe-e111-a144-c3ec58c4220f,SD PT Lestari Tani Teladan 
a3c6b4f2-e9b6-4746-b5d5-81a84b98f0dc,SMAN 5 PALU
80e63057-013c-e111-ba15-857dbed14cbc,SD NEGERI ALASAN
18362053-d562-46ca-8b01-5b09b9a46d14,SMPN 20 KENDARI
f0d9592d-38f3-e111-84c4-ed0d6898a04c,SMP SATU ATAP NEGERI 16 SIGI
edbcde7a-c62c-4aef-a4be-1070573b6bea,SMAN 1 PALELEH BARAT
50a9ce58-013c-e111-9710-05307f63f0ab,SMP NEGERI 1 BUNGKU BARAT
82a08e0b-63bd-470f-b6e1-f874b80b4b5b,MTS ALKHAIRAAT PUSAT PALU
40f81c58-013c-e111-817c-896b0d0fb7ee,SD NEGERI BONDOYONG
f0332758-013c-e111-9920-f1bbfef74d30,SD INPRES 2 LAMBUNU
108c9b57-013c-e111-b5a3-c3976fedcd36,SD NEGERI 2 KASIGUNCU
009e2358-013c-e111-8fda-c1948d177243,SD K TERPENCIL SARAMBU
90d0c757-013c-e111-889e-23c9b529f5e8,SD INPRES LEMPEK
119f7d93-1313-486b-84e9-b71d74d896b9,SDN 33 DAMPELAS
e063a816-c195-e211-b632-4db80aff3811,SD NEGERI KOTARAYA
edfae93b-280b-488b-8336-d99e417c9403,SMP NEGERI 6 AMPANA TETE
a0d2dcf3-7fd8-e211-9423-47d31554d759,SD NEGERI 8 PALELEH
b52a35e5-8691-4978-83e2-64575c493270,SMAN 1 DONDO
4051f857-013c-e111-8de0-51fd98917234,SD NEGERI MALANGGA SELATAN
e0d16558-013c-e111-845c-65f7fc030010,SD ISLAM NURUL IKHLAS
80d60058-013c-e111-adc2-8d907209e941,SD NEGERI GUSUMOTAHA
